District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
WAJIR SOUTH,KULAALEY,KULAALEY,5951,4659,10610,1275,729.43,14.55,KULAALEY,NORTH EASTERN
EAST POKOT,AKORET,KULAL,1359,1126,2485,464,226.13,10.99,NGINYANG,RIFT VALLEY
LAGDERA,KULAN,KULAN,1668,1452,3120,526,442.43,7.05,LIBOI,NORTH EASTERN
LUGARI,CHEVAYWA,KULUMBENI,5580,5783,11363,2243,20.1,565.22,MATETE,WESTERN
LAGDERA,KUMAHUMATO,KUMAHUMATO,3450,2682,6132,940,987.5,6.21,DADAAB,NORTH EASTERN
KAJIADO CENTRAL,NKOILE,KUMPA,572,603,1175,251,40.56,28.97,CENTRAL,RIFT VALLEY
KAJIADO CENTRAL,METO,KUMPA,1702,1914,3616,791,165.76,21.81,NAMANGA,RIFT VALLEY
TIGANIA,THANGATHA,KUNATI,3483,3638,7121,1483,29.06,245.07,TIGANIA,EASTERN
KWALE,TSIMBA,KUNDUTSI,3997,4375,8372,1511,38.6,216.87,MATUGA,COAST
TIGANIA,NKOMO,KUNENE,3582,3612,7194,1644,7.77,926.45,URINGU,EASTERN
TANA DELTA,WACHU ODA,KURAWA,2402,2339,4741,1017,175.87,26.96,TARASAA,COAST
MOLO,KURESOI,KURESOI,2066,2044,4110,906,23.54,174.58,KURESOI,RIFT VALLEY
NANDI NORTH,KURGUNG,KURGUNG,2088,2081,4169,798,15.92,261.93,KIPKAREN,RIFT VALLEY
LAIKIPIA NORTH,MUKOGODO,KURI KURI,1633,1505,3138,705,133.44,23.52,MUKOGODO,RIFT VALLEY
LAISAMIS,KARGI,KURKUM,299,155,454,148,2489.49,0.18,LOIYANGALANI,EASTERN
WAJIR NORTH,BATALU,KUROW,1390,1158,2548,372,450.53,5.66,BUNA,NORTH EASTERN
WAJIR SOUTH,KURSIN,KURSIN,1981,1589,3570,551,690.42,5.17,SEBULE,NORTH EASTERN
BARINGO,KAPROPITA SOI,KURUMBOMPSOO,364,381,745,168,32.55,22.89,SALAWA,RIFT VALLEY
LAISAMIS,SOUTH HORR,KURUNGU,727,450,1177,217,726.05,1.62,LOIYANGALANI,EASTERN
TESO NORTH,OSAJAI,KURURUMA,1288,1347,2635,502,5.69,462.84,AMAGORO,WESTERN
KURIA WEST,BUKIRA NORTH,KURUTIYANGE,2253,2403,4656,796,21.6,215.58,KEHANCHA,NYANZA
KILIFI,JUNJU,KURUWITU /CHODARI,4204,4535,8739,1453,23.33,374.56,KIKAMBALA,COAST
BURET,KUSUMEK,KUSUMEK,2396,2419,4815,903,7.53,639.1,BURET,RIFT VALLEY
MANDERA CENTRAL,KUTAYU,KUTAYU,5069,3987,9056,1040,388.25,23.33,KOTULO,NORTH EASTERN
NAROK SOUTH,MULOT,KUTO,3394,3430,6824,1239,11.21,608.57,MULOT,RIFT VALLEY
WAJIR EAST,KUTULO,KUTULO,5118,3874,8992,1101,588.23,15.29,KUTULO,NORTH EASTERN
KIPKELION,KAMASIAN,KUTUNG,1332,1325,2657,484,15.28,173.94,KAMASIAN,RIFT VALLEY
BUNGOMA WEST,MUKUYUNI,KUYWA,5404,5690,11094,2107,19.13,579.87,CHWELE,WESTERN
MIGORI,SUNA RABUOR,KWA,3313,3537,6850,1382,15.5,441.92,SUBA EAST,NYANZA
KANGUNDO,KYANZAVI,KWA KUMBU,1073,1012,2085,482,22.05,94.54,MATUNGULU,EASTERN
THIKA EAST,NGELELYA,KWA MUKUNDI,629,731,1360,322,7.14,190.43,KAKUZI,CENTRAL
KITUI,KATULANI,KWA MULI,1181,1335,2516,586,12.4,202.84,CENTRAL,EASTERN
KITUI,KWA MULUNGU,KWA MULUNGU,405,471,876,175,6.09,143.9,MATINYANI,EASTERN
MWALA,KATHAMA,KWA MUTULA,1214,1331,2545,580,14,181.84,MWALA,EASTERN
YATTA,MAVOLONI,KWA NDOLO,3094,3347,6441,1456,32.52,198.05,YATTA,EASTERN
NZAUI,EMALI,KWAKAKULU,1041,957,1998,365,5.6,356.49,MULALA,EASTERN
MWALA,YATHUI,KWA-KALA,1225,1341,2566,522,34.35,74.7,YATHUI,EASTERN
MAKUENI,KWAKAVISI,KWAKAVISI,2025,2157,4182,775,47.08,88.83,KATHONZWENI,EASTERN
KISUMU EAST,KAWINO SOUTH,KWAKUNGU,1131,1189,2320,512,2.85,812.75,KADIBO,NYANZA
KALOLENI,JIBANA,KWALE,2195,2524,4719,785,8.69,543.14,KALOLENI,COAST
KANGUNDO,KOMAROCK,KWALE,1843,1839,3682,728,24.99,147.37,MATUNGULU,EASTERN
NZAUI,KWALE,KWALE,1472,1331,2803,658,44.87,62.47,KIOU,EASTERN
HOMABAY,WEST KANYAMWA,KWAMO,2103,2241,4344,941,20.3,214.02,NDHIWA,NYANZA
HOMABAY,CENTRAL KANYAMWA,KWANDIKU,2536,2738,5274,1136,17.99,293.12,NDHIWA,NYANZA
TESO SOUTH,KWANGAMOR,KWANGAMOR,1196,1303,2499,506,7.37,338.99,AMUKURA,WESTERN
KANGUNDO,NGULUNI,KWANGII,1122,1032,2154,470,18.82,114.47,MATUNGULU,EASTERN
MWINGI,MUMBUNI,KWANUNGU,1039,1201,2240,485,8.41,266.46,CENTRAL,EASTERN
KWANZA,KWANZA,KWANZA,12811,13328,26139,4939,60.41,432.69,KWANZA,RIFT VALLEY
KAJIADO NORTH,NKAIMURUNYA,KWARE,11354,10839,22193,7050,1.28,17289.65,NGONG,RIFT VALLEY
KILINDINI,MIKINDANI,KWASHEE,17641,17616,35257,10642,3.83,9198.76,JOMVU,COAST
LAMU,FAZA,KWATINI,597,578,1175,240,2.49,471.7,FAZA,COAST
LAMU,FAZA,KWATONGANI,652,659,1311,275,7.87,166.57,FAZA,COAST
KANGUNDO,KYELENI,KWOSAU,1736,1657,3393,686,10.76,315.21,MATUNGULU,EASTERN
MACHAKOS,MUA HILLS,KYAANI,724,747,1471,338,13.82,106.47,CENTRAL,EASTERN
KITUI,KALIKU,KYAIMU,671,731,1402,267,56.72,24.72,MUTITU,EASTERN
KIBWEZI,KIBOKO,KYALE,1876,1957,3833,717,100.18,38.26,MAKINDU,EASTERN
KITUI,KYAMATU,KYAMATU,1710,1899,3609,649,69.42,51.99,MWITIKA,EASTERN
MWALA,YATHUI,KYAMATULA,1844,2033,3877,856,28.91,134.11,YATHUI,EASTERN
KITUI,MULANGO,KYAMBITI,1498,1570,3068,642,11.61,264.18,CENTRAL,EASTERN
MWINGI,MIGWANI,KYAMBOO,857,1002,1859,421,8.27,224.7,MIGWANI,EASTERN
KITUI,KALIMANI,KYAMBUSYA,1002,1079,2081,452,10.67,195.12,MATINYANI,EASTERN
MAKUENI,ILIMA,KYAMUOSO,4560,5128,9688,1899,30.02,322.67,KILUNGU,EASTERN
MWALA,MAKUTANO,KYAMUTWII,1095,1098,2193,485,9.14,239.88,MASII,EASTERN
MAKUENI,KEE,KYAMWALYE,1445,1627,3072,693,9.35,328.67,KEE,EASTERN
MACHAKOS,MUA HILLS,KYANDA,1264,1312,2576,589,14.6,176.44,CENTRAL,EASTERN
KYUSO,KAKUYU,KYANDALI,1153,1291,2444,477,58.71,41.63,MUMONI,EASTERN
KYUSO,MASYUNGWA,KYANDANI,1591,1814,3405,593,172.61,19.73,TSEIKURU,EASTERN
MACHAKOS,KYANGALA,KYANGALA,1040,1258,2298,541,10.46,219.69,KALAMA,EASTERN
MWALA,MANGO,KYANGANGA,1377,1373,2750,640,11.74,234.3,MASII,EASTERN
MWINGI,WINGEMI,KYANGATI,2634,3102,5736,1036,134.7,42.58,NUU,EASTERN
MUTOMO,VOO,KYANGINI,848,968,1816,323,59.94,30.3,MUTHA,EASTERN
MUTOMO,VOO,KYANGO,1570,1754,3324,566,63.97,51.96,MUTHA,EASTERN
KIBWEZI,MASONGALENI,KYANGULI,806,944,1750,336,22.33,78.35,KIBWEZI,EASTERN
MWALA,YATHUI,KYANGULUMI,2006,2154,4160,917,32.63,127.51,YATHUI,EASTERN
KITUI,MULANGO,KYANGUNGA,1841,1924,3765,763,14.76,255.08,CENTRAL,EASTERN
KITUI,NZAMBANI,KYANIKA,5126,5209,10335,2315,27.22,379.7,CHULUNI,EASTERN
MWINGI,MWINGI,KYANIKA,3799,3877,7676,2165,24.36,315.15,CENTRAL,EASTERN
MUTOMO,KANZIKO,KYANYAA,580,652,1232,221,17.82,69.12,KANZIKO,EASTERN
MACHAKOS,KIMUTWA,KYANZASU,1386,1391,2777,642,15.36,180.78,CENTRAL,EASTERN
YATTA,IKOMBE,KYASIONI,1849,1883,3732,781,27.1,137.71,IKOMBE,EASTERN
MUTOMO,KYATUNE,KYATUNE,2028,2244,4272,812,58.84,72.6,IKANGA,EASTERN
KANGUNDO,TALA,KYAUME,4377,4378,8755,2287,6.04,1448.42,MATUNGULU,EASTERN
MWINGI,NGUNI,KYAVUKA,2382,2688,5070,928,140.53,36.08,NGUNI,EASTERN
MWALA,MWALA,KYAWANGO,699,750,1449,337,16.27,89.09,MWALA,EASTERN
MWALA,WAMUNYU,KYAWANGO,1861,1889,3750,868,17.76,211.15,YATHUI,EASTERN
MWALA,MIU,KYAWIKYO,748,813,1561,361,10.31,151.48,YATHUI,EASTERN
KANGUNDO,KYELENI,KYELENI,3115,3201,6316,1302,32.22,196.03,MATUNGULU,EASTERN
NZAUI,KYEMUNDU,KYEMUNDU,746,785,1531,310,6.01,254.75,MULALA,EASTERN
KITUI,KATUTU,KYENGE,655,740,1395,278,22.44,62.17,MUTONGUNI,EASTERN
KYUSO,MUSAVANI,KYENINI,1750,1979,3729,729,90.61,41.15,TSEIKURU,EASTERN
MWINGI,KYETHANI,KYETHANI,1916,2131,4047,827,64.5,62.74,CENTRAL,EASTERN
MWALA,MUTHETHENI,KYETHIVO,1619,1837,3456,766,17.82,193.94,MASII,EASTERN
KANGUNDO,KAKUYUNI,KYEVALUKI,2613,2614,5227,1212,12.14,430.49,KAKUYUNI,EASTERN
MUTOMO,IKUTHA,KYOANI,1378,1541,2919,514,50.49,57.81,IKUTHA,EASTERN
BOMET,KYOGONG,KYOGONG,2839,2895,5734,1075,17.1,335.42,BOMET CENTRAL,RIFT VALLEY
MWINGI,KYOME,KYOME,1868,1963,3831,841,23.1,165.85,MIGWANI,EASTERN
KITUI,MATINYANI,KYONDONI,1500,1593,3093,687,5.75,538.29,MATINYANI,EASTERN
YATTA,KIVAA,KYONDONI,1178,1359,2537,528,52.43,48.39,MASINGA,EASTERN
YATTA,KYUA,KYUA,3124,3328,6452,1314,84.04,76.78,KATANGI,EASTERN
MAKUENI,UKIA,KYUASINI,1436,1589,3025,627,24.75,122.22,KAITI,EASTERN
WESTLANDS,KITISURU,KYUNA,3746,3293,7039,2130,3.4,2071.57,WESTLANDS,NAIROBI
MWINGI,THAANA NZAU,KYUSYANI,688,835,1523,273,36.72,41.48,MIGWANI,EASTERN
MBOONI,MBOONI,KYUU,4481,4896,9377,2004,17.38,539.62,MBOONI,EASTERN
LAGDERA,LABISIGALE,LABISIGALE,23137,20604,43741,7241,316.41,138.24,DADAAB,NORTH EASTERN
NANDI NORTH,KIPKAREN,LABORET,2205,2223,4428,876,18.54,238.81,KIPKAREN,RIFT VALLEY
NYERI NORTH,MWIYOGO,LABURA,2745,2750,5495,1494,65.48,83.92,KIENI WEST,CENTRAL
TIGANIA,ATHWANA,LACIATHURIO,1251,1434,2685,562,30.68,87.51,AKITHI,EASTERN
WAJIR EAST,LAFALEY,LAFALEY,2143,1534,3677,553,515.37,7.13,KUTULO,NORTH EASTERN
MANDERA EAST,LAFFEEY,LAFFEY,12383,9606,21989,2534,320.73,68.56,LAFFEY,NORTH EASTERN
WAJIR SOUTH,LAGBOGOL SOUTH,LAGBOGOL SOUTH,2156,1625,3781,450,230.05,16.44,HABASWEN,NORTH EASTERN
MANDERA WEST,LAGSURE,LAGSURE,7735,7102,14837,1522,982.47,15.1,TAKABA,NORTH EASTERN
IGEMBE,NKINYANGA,LAIKUMUKUMU,861,877,1738,341,67.39,25.79,IGEMBE NORTH,EASTERN
TIGANIA,BUURI,LAILUBA,1837,2204,4041,821,36.03,112.16,MUTHARA,EASTERN
TANA RIVER,MILALULU,LAINI,929,990,1919,390,61.79,31.06,GALOLE,COAST
NAIROBI WEST,LAINI SABA,LAINI SABA,15688,12494,28182,9927,0.37,75941.79,KIBERA,NAIROBI
TIGANIA,MUMUI,LAIRANGI,861,924,1785,418,20.85,85.61,MITUNTU,EASTERN
LAISAMIS,LAISAMIS,LAISAMIS,2707,3002,5709,1456,1368.11,4.17,LAISAMIS,EASTERN
IGEMBE,KINDANI,LAKATHI,1314,1166,2480,547,16.13,153.71,IGEMBE S.EAST,EASTERN
NAKURU,LAKE NAKURU NAT. PARK,LAKE NAKURU NAT. PARK,388,235,623,87,178.18,3.5,LAKE NAKURU NAT. PARK,RIFT VALLEY
NAIVASHA,LAKE VIEW,LAKE VIEW,9950,10132,20082,6714,16.55,1213.15,NAIVASHA,RIFT VALLEY
WAJIR NORTH,LAKOLE NORTH,LAKOLE NORTH,1451,1187,2638,388,838.03,3.15,BUNA,NORTH EASTERN
WAJIR WEST,LAKOLEY SOUTH,LAKOLEY SOUTH,4418,3040,7458,829,880.42,8.47,ELDAS,NORTH EASTERN
KERICHO,KAPSOROK,LAKWENYI,466,439,905,182,16.2,55.85,SOIN,RIFT VALLEY
BURET,LITEIN,LALAGIN,1648,1701,3349,618,5.85,572.65,BURET,RIFT VALLEY
KERICHO,POIYWEK,LALIAT,1604,1599,3203,631,14.97,213.93,AINAMOI,RIFT VALLEY
NAKURU,KAPKURES,LALWET,961,975,1936,398,4.55,425.06,BARUTI,RIFT VALLEY
MANDERA EAST,KHALALIO,LAMANDID,595,500,1095,128,11.1,98.67,KHALALIO,NORTH EASTERN
MOYALE,LAMI,LAMI,2194,2410,4604,712,0.78,5916.22,CENTRAL,EASTERN
NYERI NORTH,GATARAKWA,LAMURIA,2292,2282,4574,1366,32.13,142.36,KIENI WEST,CENTRAL
LAIKIPIA EAST,LAMURIA,LAMURIA,6307,5907,12214,4105,440.98,27.7,LAMURIA,RIFT VALLEY
NAIROBI EAST,VIWANDANI,LANDI MAWE,15434,11075,26509,9814,5.55,4772.1,MAKADARA,NAIROBI
